fight_id,fighter_id,fighter,kd,sig_str,sig_str_pct,total_str,td,td_pct,sub_att,rev,ctrl,head,body,leg,distance,clinch,ground
f32d918ee06cb83b,327d5f279895110d,Roman Dolidze,1,18 of 42,42%,29 of 57,0 of 0,---,1,0,0:02,15 of 38,2 of 3,1 of 1,14 of 36,2 of 4,2 of 2
0067048aaa2aa2da,7b310409440c9102,Zhang Lipeng,0,19 of 40,47%,130 of 179,2 of 4,50%,1,0,8:03,7 of 25,6 of 9,6 of 6,9 of 27,6 of 7,4 of 6
0067048aaa2aa2da,494b0bfdbac74502,Brendan O'Reilly,0,15 of 50,30%,74 of 121,0 of 3,0%,0,1,3:16,7 of 35,4 of 8,4 of 7,12 of 41,3 of 4,0 of 5
4efbd869aa0211d2,5713c1d2fac539ac,Cody East,0,21 of 47,44%,40 of 68,3 of 3,100%,0,0,0:25,17 of 43,0 of 0,4 of 4,15 of 38,4 of 5,2 of 4
4efbd869aa0211d2,fa6796c55d6c5440,Curtis Blaydes,0,52 of 81,64%,109 of 149,5 of 6,83%,0,0,4:27,41 of 69,7 of 8,4 of 4,10 of 21,6 of 12,36 of 48
3be121d4f5460893,113df4fde64735c6,Davey Grant,0,36 of 84,42%,44 of 93,2 of 2,100%,0,0,1:29,23 of 67,11 of 14,2 of 3,20 of 56,13 of 22,3 of 6
3be121d4f5460893,42a7e90605df3c8a,Damian Stasiak,0,10 of 39,25%,18 of 47,4 of 9,44%,1,1,4:16,7 of 27,3 of 12,0 of 0,8 of 35,1 of 3,1 of 1
2f5e137118d57d0e,05560764359161e4,Constantinos Philippou,0,42 of 162,25%,53 of 173,0 of 2,0%,0,0,0:07,37 of 154,5 of 8,0 of 0,40 of 158,2 of 4,0 of 0
2f5e137118d57d0e,7c35f869033901ae,Riki Fukuda,0,44 of 97,45%,61 of 114,0 of 8,0%,0,0,1:56,20 of 68,6 of 9,18 of 20,43 of 94,1 of 3,0 of 0
9cc0582c703637aa,af62f99eb7606308,Erik Perez,1,50 of 108,46%,120 of 178,7 of 8,87%,0,0,8:34,25 of 70,13 of 22,12 of 16,29 of 76,7 of 14,14 of 18
9cc0582c703637aa,bbfca6d5c27d9cd8,Edwin Figueroa,0,18 of 85,21%,21 of 88,0 of 0,---,0,0,0:00,13 of 74,5 of 9,0 of 2,18 of 80,0 of 5,0 of 0
baf123a5b5fc674c,22aa91e402d0fe1f,Ramsey Nijem,0,59 of 77,76%,163 of 190,8 of 14,57%,4,0,12:42,50 of 68,4 of 4,5 of 5,21 of 31,7 of 7,31 of 39
baf123a5b5fc674c,a66395395b5f1394,Danny Downes,0,6 of 27,22%,22 of 43,0 of 0,---,0,0,0:31,4 of 25,2 of 2,0 of 0,5 of 26,1 of 1,0 of 0
43fbc59edc7dfa9f,e5bda12faabfc850,Luis Henrique,0,20 of 43,46%,77 of 141,1 of 7,14%,1,0,6:00,16 of 39,4 of 4,0 of 0,4 of 15,4 of 9,12 of 19
43fbc59edc7dfa9f,75afb06215a07341,Dmitrii Smoliakov,0,14 of 34,41%,66 of 95,0 of 1,0%,0,0,0:00,8 of 26,4 of 5,2 of 3,6 of 22,7 of 11,1 of 1
df3cc5ec78d05a71,71171fc96445bf65,Vitor Petrino,0,27 of 75,36%,33 of 82,3 of 5,60%,0,0,5:24,16 of 59,4 of 8,7 of 8,25 of 72,0 of 0,2 of 3
df3cc5ec78d05a71,49e96ff8ab781589,Tyson Pedro,0,30 of 60,50%,33 of 64,0 of 2,0%,0,0,0:10,3 of 29,11 of 15,16 of 16,29 of 59,1 of 1,0 of 0
89dd4c256ca5d317,9560ff14eb3129f7,Giga Chikadze,1,65 of 157,41%,69 of 163,0 of 1,0%,0,0,0:29,32 of 117,24 of 28,9 of 12,54 of 134,0 of 2,11 of 21
89dd4c256ca5d317,a0e6753c42698f13,Omar Morales,0,34 of 128,26%,35 of 130,0 of 0,---,0,0,1:04,23 of 111,7 of 11,4 of 6,34 of 125,0 of 0,0 of 3
